epoch,phase,pit_loss,overlap_loss,contrast_loss,total_loss,der,jer,fa_rate,miss_rate,overlap_precision,overlap_recall,overlap_f1,inference_time_mel_sec,inference_time_model_sec,inference_time_total_sec,rtf,model_params_millions,encoder_params_millions,decoder_params_millions,checkpoint_size_mb,learning_rate,timestamp
1,train,0.12911,5.837414,1.016601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00002,10/28/2025 11:31,
1,val,0.117673,5.863432,0.410845,14.9979,0.8595,0.6297,0.0832,0.5145,0.2608,0.3461,0.2001,0.0167,0.2168,0.0108,3.23,2.39,0.79,41.96,0.00002,10/28/2025 11:32,
2,train,0.117394,5.838624,0.73596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001995,10/28/2025 11:35,
2,val,0.117624,5.864755,0.410861,15.2505,0.8839,0.7127,0.0421,0.4184,0.5534,0.4765,0.2001,0.0158,0.2159,0.0108,3.23,2.39,0.79,41.96,0.00001995,10/28/2025 11:36,
3,train,0.114394,5.850194,0.684436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001979,10/28/2025 11:39,
3,val,0.114453,5.864809,0.407694,15.3414,0.8834,0.6683,0.0614,0.3869,0.6477,0.4845,0.2001,0.0149,0.215,0.0107,3.23,2.39,0.79,41.96,0.00001979,10/28/2025 11:40,
4,train,0.113037,5.848972,0.654189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001954,10/28/2025 11:43,
4,val,0.112896,5.864396,0.406116,15.3917,0.8807,0.6422,0.0791,0.4658,0.6449,0.5409,0.2001,0.0149,0.215,0.0107,3.23,2.39,0.79,41.96,0.00001954,10/28/2025 11:44,
5,train,0.110644,5.848855,0.631549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001918,10/28/2025 11:47,
5,val,0.112572,5.864459,0.405795,15.8404,0.8734,0.575,0.0781,0.3811,0.7217,0.4988,0.2001,0.0192,0.2193,0.011,3.23,2.39,0.79,41.96,0.00001918,10/28/2025 11:48,
6,train,0.111117,5.854249,0.619617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001873,10/28/2025 11:51,
6,val,0.112743,5.863624,0.405924,15.8524,0.8747,0.6088,0.0542,0.543,0.6322,0.5842,0.2001,0.0153,0.2154,0.0108,3.23,2.39,0.79,41.96,0.00001873,10/28/2025 11:52,
7,train,0.110546,5.840143,0.605164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001819,10/28/2025 11:55,
7,val,0.112131,5.863824,0.405322,16.0604,0.8744,0.5955,0.0472,0.5268,0.6386,0.5773,0.2001,0.0148,0.2149,0.0107,3.23,2.39,0.79,41.96,0.00001819,10/28/2025 11:56,
8,train,0.109433,5.850598,0.596141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001756,10/28/2025 11:59,
8,val,0.112979,5.863183,0.406139,16.5508,0.8643,0.5932,0.0574,0.4757,0.7007,0.5667,0.2001,0.0151,0.2152,0.0108,3.23,2.39,0.79,41.96,0.00001756,10/28/2025 12:00,
9,train,0.10816,5.847757,0.58408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001686,10/28/2025 12:03,
9,val,0.112584,5.864396,0.405804,16.3987,0.8855,0.5767,0.0707,0.5083,0.6973,0.588,0.2001,0.019,0.2191,0.0109,3.23,2.39,0.79,41.96,0.00001686,10/28/2025 12:04,
10,train,0.108388,5.862841,0.579656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001608,10/28/2025 12:07,
10,val,0.112303,5.8649,0.405548,16.3223,0.875,0.5136,0.0964,0.4897,0.7124,0.5804,0.2001,0.0146,0.2147,0.0107,3.23,2.39,0.79,41.96,0.00001608,10/28/2025 12:08,
11,train,0.107131,5.844998,0.570422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001525,10/28/2025 12:11,
11,val,0.111171,5.865711,0.404457,16.399,0.8875,0.5495,0.0692,0.5451,0.6685,0.6005,0.2001,0.0151,0.2152,0.0108,3.23,2.39,0.79,41.96,0.00001525,10/28/2025 12:12,
12,train,0.10753,5.848239,0.568199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001436,10/28/2025 12:15,
12,val,0.112702,5.864679,0.405936,16.5953,0.8723,0.5822,0.0534,0.4471,0.7493,0.56,0.2001,0.0271,0.2272,0.0114,3.23,2.39,0.79,41.96,0.00001436,10/28/2025 12:16,
13,train,0.107304,5.848559,0.560343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001344,10/28/2025 12:19,
13,val,0.114048,5.865092,0.407302,16.5236,0.8758,0.5494,0.0686,0.5261,0.6736,0.5908,0.1803,0.0213,0.2015,0.0112,3.23,2.39,0.79,41.96,0.00001344,10/28/2025 12:20,
14,train,0.10696,5.83473,0.555775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001248,10/28/2025 12:23,
14,val,0.112231,5.865519,0.405507,16.4917,0.8707,0.533,0.0728,0.5586,0.66,0.6051,0.2001,0.0165,0.2166,0.0108,3.23,2.39,0.79,41.96,0.00001248,10/28/2025 12:24,
15,train,0.106443,5.844775,0.553945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001149,10/28/2025 12:27,
